"","Municipal","County","State","Region","Year","Unemployment Rate (Avg)","Number of Unemployed (Avg)","Number of Employed (Avg)","Number in Labor Force (Avg)"
"4790","Natick","Middlesex County","MA","Natick",2004,3.7,691,17768,18459
"4791","Natick","Middlesex County","MA","Natick",2005,3.3,621,17953,18574
"4792","Natick","Middlesex County","MA","Natick",2006,3.5,646,18023,18669
"4793","Natick","Middlesex County","MA","Natick",2007,3,575,18295,18870
"4794","Natick","Middlesex County","MA","Natick",2008,3.6,692,18407,19099
"4795","Natick","Middlesex County","MA","Natick",2009,5.8,1097,17804,18901
"4796","Natick","Middlesex County","MA","Natick",2010,5.7,1082,17988,19070
"4797","Natick","Middlesex County","MA","Natick",2011,4.7,898,18163,19061
"4798","Natick","Middlesex County","MA","Natick",2012,4.3,830,18329,19159
"4799","Needham","Norfolk County","MA","Needham",1990,3.7,536,14039,14575
"4800","Needham","Norfolk County","MA","Needham",1991,4.9,691,13497,14188
"4801","Needham","Norfolk County","MA","Needham",1992,4.9,694,13553,14247
"4802","Needham","Norfolk County","MA","Needham",1993,3.9,558,13802,14360
"4803","Needham","Norfolk County","MA","Needham",1994,3.5,513,14043,14556
"4804","Needham","Norfolk County","MA","Needham",1995,3.3,477,14018,14495
"4805","Needham","Norfolk County","MA","Needham",1996,2.2,325,14283,14608
"4806","Needham","Norfolk County","MA","Needham",1997,1.9,285,14637,14922
"4807","Needham","Norfolk County","MA","Needham",1998,1.7,251,14811,15062
"4808","Needham","Norfolk County","MA","Needham",1999,1.6,240,14899,15139
"4809","Needham","Norfolk County","MA","Needham",2000,2,284,14120,14404
"4810","Needham","Norfolk County","MA","Needham",2001,2.7,396,14114,14510
"4811","Needham","Norfolk County","MA","Needham",2002,4.1,597,13891,14488
"4812","Needham","Norfolk County","MA","Needham",2003,4.3,619,13673,14292
"4813","Needham","Norfolk County","MA","Needham",2004,3.8,537,13639,14176
"4814","Needham","Norfolk County","MA","Needham",2005,3.4,484,13697,14181
"4815","Needham","Norfolk County","MA","Needham",2006,3.3,465,13632,14097
"4816","Needham","Norfolk County","MA","Needham",2007,3.1,432,13726,14158
"4817","Needham","Norfolk County","MA","Needham",2008,3.7,530,13777,14307
"4818","Needham","Norfolk County","MA","Needham",2009,6,855,13348,14203
"4819","Needham","Norfolk County","MA","Needham",2010,5.5,790,13486,14276
"4820","Needham","Norfolk County","MA","Needham",2011,4.8,689,13636,14325
"4821","Needham","Norfolk County","MA","Needham",2012,4.4,638,13786,14424
"4822","New Ashford","Berkshire County","MA","New Ashford",1990,4.1,5,116,121
"4823","New Ashford","Berkshire County","MA","New Ashford",1991,7.6,9,109,118
"4824","New Ashford","Berkshire County","MA","New Ashford",1992,8.9,11,113,124
"4825","New Ashford","Berkshire County","MA","New Ashford",1993,7.5,9,111,120
"4826","New Ashford","Berkshire County","MA","New Ashford",1994,9.8,12,111,123
"4827","New Ashford","Berkshire County","MA","New Ashford",1995,3.5,4,111,115
"4828","New Ashford","Berkshire County","MA","New Ashford",1996,3.5,4,111,115
"4829","New Ashford","Berkshire County","MA","New Ashford",1997,5,6,115,121
"4830","New Ashford","Berkshire County","MA","New Ashford",1998,5.5,7,120,127
"4831","New Ashford","Berkshire County","MA","New Ashford",1999,3.1,4,126,130
"4832","New Ashford","Berkshire County","MA","New Ashford",2000,4.5,7,147,154
"4833","New Ashford","Berkshire County","MA","New Ashford",2001,3.3,5,148,153
"4834","New Ashford","Berkshire County","MA","New Ashford",2002,4.5,7,150,157
"4835","New Ashford","Berkshire County","MA","New Ashford",2003,4.5,7,148,155
"4836","New Ashford","Berkshire County","MA","New Ashford",2004,3.9,6,148,154
"4837","New Ashford","Berkshire County","MA","New Ashford",2005,4.4,7,152,159
"4838","New Ashford","Berkshire County","MA","New Ashford",2006,3.7,6,156,162
"4839","New Ashford","Berkshire County","MA","New Ashford",2007,3.7,6,157,163
"4840","New Ashford","Berkshire County","MA","New Ashford",2008,3.7,6,155,161
"4841","New Ashford","Berkshire County","MA","New Ashford",2009,4.4,7,151,158
"4842","New Ashford","Berkshire County","MA","New Ashford",2010,4.3,6,133,139
"4843","New Ashford","Berkshire County","MA","New Ashford",2011,5.6,8,136,144
"4844","New Ashford","Berkshire County","MA","New Ashford",2012,4.9,7,135,142
"4845","New Bedford","Bristol County","MA","New Bedford",1990,12.5,5669,39663,45332
"4846","New Bedford","Bristol County","MA","New Bedford",1991,16.1,7278,37870,45148
"4847","New Bedford","Bristol County","MA","New Bedford",1992,15.3,6718,37225,43943
"4848","New Bedford","Bristol County","MA","New Bedford",1993,13.5,5878,37664,43542
"4849","New Bedford","Bristol County","MA","New Bedford",1994,13,5664,37847,43511
"4850","New Bedford","Bristol County","MA","New Bedford",1995,12.2,5314,38114,43428
"4851","New Bedford","Bristol County","MA","New Bedford",1996,11.1,4709,37641,42350
"4852","New Bedford","Bristol County","MA","New Bedford",1997,9.5,4040,38419,42459
"4853","New Bedford","Bristol County","MA","New Bedford",1998,8.5,3507,37871,41378
"4854","New Bedford","Bristol County","MA","New Bedford",1999,7.8,3191,37947,41138
"4855","New Bedford","Bristol County","MA","New Bedford",2000,5.5,2306,39621,41927
"4856","New Bedford","Bristol County","MA","New Bedford",2001,6.8,2838,39116,41954
"4857","New Bedford","Bristol County","MA","New Bedford",2002,8.5,3644,39243,42887
"4858","New Bedford","Bristol County","MA","New Bedford",2003,9.5,4012,38297,42309
"4859","New Bedford","Bristol County","MA","New Bedford",2004,8.6,3618,38425,42043
"4860","New Bedford","Bristol County","MA","New Bedford",2005,8.2,3466,38692,42158
"4861","New Bedford","Bristol County","MA","New Bedford",2006,7.9,3374,39122,42496
"4862","New Bedford","Bristol County","MA","New Bedford",2007,7.7,3250,38939,42189
"4863","New Bedford","Bristol County","MA","New Bedford",2008,9.5,3965,37718,41683
"4864","New Bedford","Bristol County","MA","New Bedford",2009,13.8,5837,36552,42389
"4865","New Bedford","Bristol County","MA","New Bedford",2010,14,6126,37630,43756
"4866","New Bedford","Bristol County","MA","New Bedford",2011,12.8,5592,38020,43612
"4867","New Bedford","Bristol County","MA","New Bedford",2012,12.5,5492,38469,43961
"4868","New Braintree","Worcester County","MA","New Braintree",1990,6.7,31,433,464
"4869","New Braintree","Worcester County","MA","New Braintree",1991,9.7,45,419,464
"4870","New Braintree","Worcester County","MA","New Braintree",1992,8.4,39,424,463
"4871","New Braintree","Worcester County","MA","New Braintree",1993,4.9,23,450,473
"4872","New Braintree","Worcester County","MA","New Braintree",1994,4.9,23,449,472
"4873","New Braintree","Worcester County","MA","New Braintree",1995,4.9,22,429,451
"4874","New Braintree","Worcester County","MA","New Braintree",1996,4.3,19,425,444
"4875","New Braintree","Worcester County","MA","New Braintree",1997,4.8,22,437,459
"4876","New Braintree","Worcester County","MA","New Braintree",1998,4.3,20,444,464
"4877","New Braintree","Worcester County","MA","New Braintree",1999,3,14,449,463
"4878","New Braintree","Worcester County","MA","New Braintree",2000,2.4,13,527,540
"4879","New Braintree","Worcester County","MA","New Braintree",2001,2.5,14,542,556
"4880","New Braintree","Worcester County","MA","New Braintree",2002,4.3,25,552,577
"4881","New Braintree","Worcester County","MA","New Braintree",2003,4.9,29,568,597
"4882","New Braintree","Worcester County","MA","New Braintree",2004,4.4,27,581,608
"4883","New Braintree","Worcester County","MA","New Braintree",2005,5.7,36,594,630
"4884","New Braintree","Worcester County","MA","New Braintree",2006,5.6,36,603,639
"4885","New Braintree","Worcester County","MA","New Braintree",2007,5.5,36,613,649
"4886","New Braintree","Worcester County","MA","New Braintree",2008,5.5,35,604,639
"4887","New Braintree","Worcester County","MA","New Braintree",2009,8.4,54,589,643
"4888","New Braintree","Worcester County","MA","New Braintree",2010,9.7,56,520,576
"4889","New Braintree","Worcester County","MA","New Braintree",2011,7.3,41,524,565
"4890","New Braintree","Worcester County","MA","New Braintree",2012,7.4,42,523,565
"4891","New Marlborough","Berkshire County","MA","New Marlborough",1990,1.3,8,592,600
"4892","New Marlborough","Berkshire County","MA","New Marlborough",1991,2.3,14,583,597
"4893","New Marlborough","Berkshire County","MA","New Marlborough",1992,3.4,20,565,585
"4894","New Marlborough","Berkshire County","MA","New Marlborough",1993,2.6,16,596,612
"4895","New Marlborough","Berkshire County","MA","New Marlborough",1994,3,18,578,596
"4896","New Marlborough","Berkshire County","MA","New Marlborough",1995,2.7,18,649,667
"4897","New Marlborough","Berkshire County","MA","New Marlborough",1996,2.1,14,665,679
"4898","New Marlborough","Berkshire County","MA","New Marlborough",1997,1.6,11,681,692
"4899","New Marlborough","Berkshire County","MA","New Marlborough",1998,1.5,10,676,686
"4900","New Marlborough","Berkshire County","MA","New Marlborough",1999,1.8,12,671,683
"4901","New Marlborough","Berkshire County","MA","New Marlborough",2000,2.1,17,805,822
"4902","New Marlborough","Berkshire County","MA","New Marlborough",2001,2.6,22,839,861
"4903","New Marlborough","Berkshire County","MA","New Marlborough",2002,3.4,30,860,890
"4904","New Marlborough","Berkshire County","MA","New Marlborough",2003,3.4,30,861,891
"4905","New Marlborough","Berkshire County","MA","New Marlborough",2004,3,27,866,893
"4906","New Marlborough","Berkshire County","MA","New Marlborough",2005,3.2,29,890,919
"4907","New Marlborough","Berkshire County","MA","New Marlborough",2006,3.1,29,901,930
"4908","New Marlborough","Berkshire County","MA","New Marlborough",2007,3.3,30,883,913
"4909","New Marlborough","Berkshire County","MA","New Marlborough",2008,4.2,38,877,915
"4910","New Marlborough","Berkshire County","MA","New Marlborough",2009,6.1,55,852,907
"4911","New Marlborough","Berkshire County","MA","New Marlborough",2010,6.7,62,861,923
"4912","New Marlborough","Berkshire County","MA","New Marlborough",2011,5,46,865,911
"4913","New Marlborough","Berkshire County","MA","New Marlborough",2012,5.5,50,858,908
"4914","New Salem","Franklin County","MA","New Salem",1990,5.3,24,426,450
"4915","New Salem","Franklin County","MA","New Salem",1991,8.1,37,417,454
"4916","New Salem","Franklin County","MA","New Salem",1992,7.1,30,390,420
"4917","New Salem","Franklin County","MA","New Salem",1993,4.7,19,386,405
"4918","New Salem","Franklin County","MA","New Salem",1994,8.7,37,387,424
"4919","New Salem","Franklin County","MA","New Salem",1995,7.7,34,407,441
"4920","New Salem","Franklin County","MA","New Salem",1996,4.7,20,404,424
"4921","New Salem","Franklin County","MA","New Salem",1997,4,17,410,427
"4922","New Salem","Franklin County","MA","New Salem",1998,4.2,18,407,425
"4923","New Salem","Franklin County","MA","New Salem",1999,4.3,18,403,421
"4924","New Salem","Franklin County","MA","New Salem",2000,2.3,13,546,559
"4925","New Salem","Franklin County","MA","New Salem",2001,2.7,15,540,555
"4926","New Salem","Franklin County","MA","New Salem",2002,3.4,19,548,567
"4927","New Salem","Franklin County","MA","New Salem",2003,4.2,24,546,570
"4928","New Salem","Franklin County","MA","New Salem",2004,3,17,543,560
"4929","New Salem","Franklin County","MA","New Salem",2005,5.1,29,538,567
"4930","New Salem","Franklin County","MA","New Salem",2006,4.2,23,531,554
"4931","New Salem","Franklin County","MA","New Salem",2007,4,22,534,556
"4932","New Salem","Franklin County","MA","New Salem",2008,4.9,28,539,567
"4933","New Salem","Franklin County","MA","New Salem",2009,7.9,43,498,541
"4934","New Salem","Franklin County","MA","New Salem",2010,7.3,40,511,551
"4935","New Salem","Franklin County","MA","New Salem",2011,6.6,36,511,547
"4936","New Salem","Franklin County","MA","New Salem",2012,6.1,33,512,545
"4937","Newbury","Essex County","MA","Newbury",1990,4.9,152,2966,3118
"4938","Newbury","Essex County","MA","Newbury",1991,6.7,212,2930,3142
"4939","Newbury","Essex County","MA","Newbury",1992,6.4,208,3025,3233
"4940","Newbury","Essex County","MA","Newbury",1993,5.7,191,3141,3332
"4941","Newbury","Essex County","MA","Newbury",1994,5,172,3283,3455
"4942","Newbury","Essex County","MA","Newbury",1995,4.1,133,3074,3207
"4943","Newbury","Essex County","MA","Newbury",1996,3.2,105,3159,3264
"4944","Newbury","Essex County","MA","Newbury",1997,3.1,105,3272,3377
"4945","Newbury","Essex County","MA","Newbury",1998,2.9,102,3357,3459
"4946","Newbury","Essex County","MA","Newbury",1999,2.7,93,3405,3498
"4947","Newbury","Essex County","MA","Newbury",2000,2.2,83,3673,3756
"4948","Newbury","Essex County","MA","Newbury",2001,3.1,118,3699,3817
"4949","Newbury","Essex County","MA","Newbury",2002,4.3,166,3663,3829
"4950","Newbury","Essex County","MA","Newbury",2003,5,191,3611,3802
"4951","Newbury","Essex County","MA","Newbury",2004,4.6,176,3611,3787
"4952","Newbury","Essex County","MA","Newbury",2005,4,156,3714,3870
"4953","Newbury","Essex County","MA","Newbury",2006,4,147,3548,3695
"4954","Newbury","Essex County","MA","Newbury",2007,3.6,134,3580,3714
"4955","Newbury","Essex County","MA","Newbury",2008,4.8,180,3594,3774
"4956","Newbury","Essex County","MA","Newbury",2009,6.9,259,3498,3757
"4957","Newbury","Essex County","MA","Newbury",2010,7.3,269,3425,3694
"4958","Newbury","Essex County","MA","Newbury",2011,6.5,243,3467,3710
"4959","Newbury","Essex County","MA","Newbury",2012,6.1,227,3505,3732
"4960","Newburyport","Essex County","MA","Newburyport",1990,6.1,577,8914,9491
"4961","Newburyport","Essex County","MA","Newburyport",1991,7.5,694,8613,9307
"4962","Newburyport","Essex County","MA","Newburyport",1992,7.4,693,8617,9310
"4963","Newburyport","Essex County","MA","Newburyport",1993,6.2,577,8735,9312
"4964","Newburyport","Essex County","MA","Newburyport",1994,5.1,483,8962,9445
"4965","Newburyport","Essex County","MA","Newburyport",1995,4.6,425,8852,9277
"4966","Newburyport","Essex County","MA","Newburyport",1996,3.7,346,9044,9390
"4967","Newburyport","Essex County","MA","Newburyport",1997,3.1,300,9325,9625
"4968","Newburyport","Essex County","MA","Newburyport",1998,2.5,245,9501,9746
"4969","Newburyport","Essex County","MA","Newburyport",1999,2.6,257,9613,9870
"4970","Newburyport","Essex County","MA","Newburyport",2000,2.2,220,9663,9883
"4971","Newburyport","Essex County","MA","Newburyport",2001,3.3,334,9696,10030
"4972","Newburyport","Essex County","MA","Newburyport",2002,5,511,9632,10143
"4973","Newburyport","Essex County","MA","Newburyport",2003,5.5,548,9485,10033
"4974","Newburyport","Essex County","MA","Newburyport",2004,4.4,440,9472,9912
"4975","Newburyport","Essex County","MA","Newburyport",2005,4,393,9504,9897
"4976","Newburyport","Essex County","MA","Newburyport",2006,4,386,9371,9757
"4977","Newburyport","Essex County","MA","Newburyport",2007,3.5,344,9418,9762
"4978","Newburyport","Essex County","MA","Newburyport",2008,4.2,412,9450,9862
"4979","Newburyport","Essex County","MA","Newburyport",2009,6.7,655,9162,9817
"4980","Newburyport","Essex County","MA","Newburyport",2010,7,695,9206,9901
"4981","Newburyport","Essex County","MA","Newburyport",2011,5.9,579,9318,9897
"4982","Newburyport","Essex County","MA","Newburyport",2012,5.2,520,9421,9941
"4983","Newton","Middlesex County","MA","Newton",1990,3.5,1659,46233,47892
"4984","Newton","Middlesex County","MA","Newton",1991,4.7,2203,45051,47254
"4985","Newton","Middlesex County","MA","Newton",1992,5,2386,45104,47490
"4986","Newton","Middlesex County","MA","Newton",1993,3.9,1853,45766,47619
"4987","Newton","Middlesex County","MA","Newton",1994,3.3,1596,46858,48454
"4988","Newton","Middlesex County","MA","Newton",1995,3.3,1501,44470,45971
"4989","Newton","Middlesex County","MA","Newton",1996,2.3,1062,45204,46266
"4990","Newton","Middlesex County","MA","Newton",1997,2.3,1096,46301,47397
"4991","Newton","Middlesex County","MA","Newton",1998,1.7,824,46812,47636
"4992","Newton","Middlesex County","MA","Newton",1999,1.7,813,47091,47904
"4993","Newton","Middlesex County","MA","Newton",2000,1.8,857,46486,47343
"4994","Newton","Middlesex County","MA","Newton",2001,2.7,1290,46216,47506
"4995","Newton","Middlesex County","MA","Newton",2002,3.9,1859,45283,47142
"4996","Newton","Middlesex County","MA","Newton",2003,4.1,1912,44923,46835
"4997","Newton","Middlesex County","MA","Newton",2004,3.5,1621,44738,46359
"4998","Newton","Middlesex County","MA","Newton",2005,3.4,1559,44861,46420
"4999","Newton","Middlesex County","MA","Newton",2006,3.3,1497,44221,45718
"5000","Newton","Middlesex County","MA","Newton",2007,3,1366,44712,46078
"5001","Newton","Middlesex County","MA","Newton",2008,3.6,1653,44751,46404
"5002","Newton","Middlesex County","MA","Newton",2009,5.6,2563,43547,46110
"5003","Newton","Middlesex County","MA","Newton",2010,5.5,2593,44490,47083
"5004","Newton","Middlesex County","MA","Newton",2011,4.6,2199,45100,47299
"5005","Newton","Middlesex County","MA","Newton",2012,4.2,2023,45594,47617
"5006","Norfolk","Norfolk County","MA","Norfolk",1990,5.3,224,3977,4201
"5007","Norfolk","Norfolk County","MA","Norfolk",1991,6.6,283,3994,4277
"5008","Norfolk","Norfolk County","MA","Norfolk",1992,7.3,320,4061,4381
"5009","Norfolk","Norfolk County","MA","Norfolk",1993,5,220,4200,4420
"5010","Norfolk","Norfolk County","MA","Norfolk",1994,4.8,221,4348,4569
"5011","Norfolk","Norfolk County","MA","Norfolk",1995,4.3,194,4348,4542
"5012","Norfolk","Norfolk County","MA","Norfolk",1996,3.3,150,4452,4602
"5013","Norfolk","Norfolk County","MA","Norfolk",1997,3.1,145,4589,4734
